000000NNNNNNNNNNNNNNNNNNNNNNNNNN l.j
100010DDDDDAAAAAIIIIIIIIIIIIIIII l.lws
100011DDDDDAAAAAIIIIIIIIIIIIIIII l.lbz
100100DDDDDAAAAAIIIIIIIIIIIIIIII l.lbs
100101DDDDDAAAAAIIIIIIIIIIIIIIII l.lhz
100110DDDDDAAAAAIIIIIIIIIIIIIIII l.lhs
100111DDDDDAAAAAIIIIIIIIIIIIIIII l.addi
101000DDDDDAAAAAIIIIIIIIIIIIIIII l.addic
101001DDDDDAAAAAKKKKKKKKKKKKKKKK l.andi
101010DDDDDAAAAAKKKKKKKKKKKKKKKK l.ori
101011DDDDDAAAAAIIIIIIIIIIIIIIII l.xori
101100DDDDDAAAAAIIIIIIIIIIIIIIII l.muli
101101DDDDDAAAAAKKKKKKKKKKKKKKKK l.mfspr
101110DDDDDAAAAA--------00LLLLLL l.slli
101110DDDDDAAAAA--------01LLLLLL l.srli
101110DDDDDAAAAA--------10LLLLLL l.srai
101110DDDDDAAAAA--------11LLLLLL l.rori
10111100000AAAAAIIIIIIIIIIIIIIII l.sfeqi
10111100001AAAAAIIIIIIIIIIIIIIII l.sfnei
10111100010AAAAAIIIIIIIIIIIIIIII l.sfgtui
10111100011AAAAAIIIIIIIIIIIIIIII l.sfgeui
10111100100AAAAAIIIIIIIIIIIIIIII l.sfltui
10111100101AAAAAIIIIIIIIIIIIIIII l.sfleui
10111101010AAAAAIIIIIIIIIIIIIIII l.sfgtsi
10111101011AAAAAIIIIIIIIIIIIIIII l.sfgesi
10111101100AAAAAIIIIIIIIIIIIIIII l.sfltsi
10111101101AAAAAIIIIIIIIIIIIIIII l.sflesi
110000KKKKKAAAAABBBBBKKKKKKKKKKK l.mtspr
110001-----AAAAABBBBB-------0001 l.mac
110001-----AAAAABBBBB-------0011 l.macu
110001-----AAAAABBBBB-------0010 l.msb
110001-----AAAAABBBBB-------0100 l.msbu
110010-----AAAAABBBBB---00001000 lf.sfeq.s
110010-----AAAAABBBBB---00001001 lf.sfne.s
110010-----AAAAABBBBB---00001010 lf.sfgt.s
110010-----AAAAABBBBB---00001011 lf.sfge.s
110010-----AAAAABBBBB---00001100 lf.sflt.s
110010-----AAAAABBBBB---00001101 lf.sfle.s
110010-----AAAAABBBBB---00011000 lf.sfeq.d
110010-----AAAAABBBBB---00011001 lf.sfne.d
110010-----AAAAABBBBB---00011010 lf.sfgt.d
110010-----AAAAABBBBB---00011011 lf.sfge.d
110010-----AAAAABBBBB---00011100 lf.sflt.d
110010-----AAAAABBBBB---00011101 lf.sfle.d
110010-----AAAAABBBBB---1101---- lf.cust1.s
110010-----AAAAABBBBB---1110---- lf.cust1.d
110010DDDDDAAAAA00000---00000100 lf.itof.s
110010DDDDDAAAAA00000---00000101 lf.ftoi.s
110010DDDDDAAAAA00000---00010100 lf.itof.d
110010DDDDDAAAAA00000---00010101 lf.ftoi.d
110010DDDDDAAAAABBBBB---00000000 lf.add.s
110010DDDDDAAAAABBBBB---00000001 lf.sub.s
110010DDDDDAAAAABBBBB---00000010 lf.mul.s
110010DDDDDAAAAABBBBB---00000011 lf.div.s
110010DDDDDAAAAABBBBB---00000110 lf.rem.s
110010DDDDDAAAAABBBBB---00000111 lf.madd.s
110010DDDDDAAAAABBBBB---00010000 lf.add.d
110010DDDDDAAAAABBBBB---00010001 lf.sub.d
110010DDDDDAAAAABBBBB---00010010 lf.mul.d
110010DDDDDAAAAABBBBB---00010011 lf.div.d
110010DDDDDAAAAABBBBB---00010110 lf.rem.d
110010DDDDDAAAAABBBBB---00010111 lf.madd.d
110100IIIIIAAAAABBBBBIIIIIIIIIII l.sd
110101IIIIIAAAAABBBBBIIIIIIIIIII l.sw
110110IIIIIAAAAABBBBBIIIIIIIIIII l.sb
110111IIIIIAAAAABBBBBIIIIIIIIIII l.sh
111000DDDDDAAAAA------0000--1100 l.exths
111000DDDDDAAAAA------0000--1101 l.extws
111000DDDDDAAAAA------0001--1100 l.extbs
111000DDDDDAAAAA------0001--1101 l.extwz
111000DDDDDAAAAA------0010--1100 l.exthz
111000DDDDDAAAAA------0011--1100 l.extbz
111000DDDDDAAAAABBBBB-00----0000 l.add
111000DDDDDAAAAABBBBB-00----0001 l.addc
111000DDDDDAAAAABBBBB-00----0010 l.sub
111000DDDDDAAAAABBBBB-00----0011 l.and
111000DDDDDAAAAABBBBB-00----0100 l.or
111000DDDDDAAAAABBBBB-00----0101 l.xor
111000DDDDDAAAAABBBBB-00----1110 l.cmov
111000DDDDDAAAAA------00----1111 l.ff1
111000DDDDDAAAAABBBBB-0000--1000 l.sll
111000DDDDDAAAAABBBBB-0001--1000 l.srl
111000DDDDDAAAAABBBBB-0010--1000 l.sra
111000DDDDDAAAAABBBBB-0011--1000 l.ror
111000DDDDDAAAAA------01----1111 l.fl1
111000DDDDDAAAAABBBBB-11----0110 l.mul
111000-----AAAAABBBBB-11----0111 l.muld
111000DDDDDAAAAABBBBB-11----1001 l.div
111000DDDDDAAAAABBBBB-11----1010 l.divu
111000DDDDDAAAAABBBBB-11----1011 l.mulu
111000-----AAAAABBBBB-11----1100 l.muldu
11100100000AAAAABBBBB----------- l.sfeq
11100100001AAAAABBBBB----------- l.sfne
11100100010AAAAABBBBB----------- l.sfgtu
11100100011AAAAABBBBB----------- l.sfgeu
11100100100AAAAABBBBB----------- l.sfltu
11100100101AAAAABBBBB----------- l.sfleu
11100101010AAAAABBBBB----------- l.sfgts
11100101011AAAAABBBBB----------- l.sfges
11100101100AAAAABBBBB----------- l.sflts
11100101101AAAAABBBBB----------- l.sfles
111100DDDDDAAAAABBBBBLLLLLLKKKKK l.cust5
111101-------------------------- l.cust6
111110-------------------------- l.cust7
111111-------------------------- l.cust8
